2022-04-25 23:03:35.5011|0|DEBUG|Program|init main |url: |action: |Program.<Main>$
2022-04-25 23:03:41.8830|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5094 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-04-25 23:03:41.9197|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-04-25 23:03:41.9197|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-04-25 23:03:41.9197|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Radhe\Documents\GitHub\Indpro\ERD\ERD\ |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-04-25 23:03:57.6463|1|DEBUG|ERD.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Index|action: Index|ERD.Controllers.HomeController..ctor
2022-04-25 23:04:06.1669|0|INFO|ERD.Controllers.HomeController|Hello, this is the index! |url: http://localhost/Home/Index|action: Index|ERD.Controllers.HomeController.Index
2022-04-25 23:04:23.2896|1|DEBUG|ERD.Controllers.EnrollmentsController|NLog injected in Enrollments Controller |url: http://localhost/Enrollments|action: Index|ERD.Controllers.EnrollmentsController..ctor
2022-04-25 23:04:39.3058|0|DEBUG|Program|init main |url: |action: |Program.<Main>$
